Plan_mes,mes,nro_cliente,cambio_de_plan
96910,2,72,1
96910,3,72,0
93521,1,73,0
96119,2,73,1
96119,3,73,0
93618,1,74,0
93618,2,74,0
93618,3,74,0
94497,1,75,0
94497,2,75,0
94497,3,75,0
95982,1,76,0
97017,2,76,1
97017,3,76,0
96332,1,77,0
96332,2,77,0
96332,3,77,0
96188,1,78,0
96188,2,78,0
96188,3,78,0
95712,1,79,0
96874,2,79,1
96874,3,79,0
94485,1,80,0
94485,2,80,0
94485,3,80,0
96385,1,81,0
96385,2,81,0
96385,3,81,0
96385,1,82,0
96385,2,82,0
96890,3,82,1
96208,1,83,0
96208,2,83,0
96208,3,83,0
95645,1,84,0
95645,2,84,0
95645,3,84,0
94497,1,85,0
97120,2,85,1
97120,3,85,0
96409,1,86,0
96409,2,86,0
96409,3,86,0
96262,1,87,0
96262,2,87,0
96262,3,87,0
95729,1,88,0
96810,2,88,1
96810,3,88,0
95729,1,89,0
96810,2,89,1
96810,3,89,0
96413,1,90,0
96413,2,90,0
96413,3,90,0
94458,1,91,0
94458,2,91,0
94458,3,91,0
96208,1,92,0
96208,2,92,0
96208,3,92,0
93845,1,93,0
93845,2,93,0
93845,3,93,0
96400,1,94,0
96737,2,94,1
96737,3,94,0
95400,1,95,0
95400,2,95,0
95400,3,95,0
96385,1,96,0
96385,2,96,0
96890,3,96,1
96121,1,97,0
96741,2,97,1
96741,3,97,0
96413,1,98,0
96413,2,98,0
96413,3,98,0
95599,1,99,0
95599,2,99,0
95599,3,99,0
96413,1,100,0
96413,2,100,0
96413,3,100,0
96119,1,101,0
96119,2,101,0
96119,3,101,0
95683,1,102,0
96844,2,102,1
96844,3,102,0
95982,1,103,0
97017,2,103,1
97017,3,103,0
95595,1,104,0
95595,2,104,0
95595,3,104,0
96133,1,105,0
96133,2,105,0
96133,3,105,0
93720,1,106,0
96133,2,106,1
96133,3,106,0
96133,1,107,0
96133,2,107,0
96133,3,107,0
93561,1,108,0
93561,2,108,0
93561,3,108,0
95982,1,109,0
95982,2,109,0
95982,3,109,0
95982,1,110,0
95982,2,110,0
97017,3,110,1
96208,1,111,0
96208,2,111,0
96793,3,111,1
96409,1,112,0
96409,2,112,0
96409,3,112,0
95420,1,113,0
95420,2,113,0
95420,3,113,0
96327,1,114,0
97120,2,114,1
97120,3,114,0
96385,1,115,0
96890,2,115,1
96890,3,115,0
96038,1,116,0
96878,2,116,1
96878,3,116,0
95733,1,117,0
95733,2,117,0
95733,3,117,0
95456,1,118,0
95456,2,118,0
96859,3,118,1
96413,1,119,0
96895,2,119,1
96895,3,119,0
95660,1,120,0
97017,2,120,1
97017,3,120,0
95599,1,121,0
95599,2,121,0
95599,3,121,0
96018,1,122,0
96018,2,122,0
96018,3,122,0
96327,1,123,0
96327,2,123,0
96327,3,123,0
96385,1,124,0
96385,2,124,0
96385,3,124,0
96018,1,125,0
96018,2,125,0
96018,3,125,0
95595,1,126,0
95595,2,126,0
95595,3,126,0
96078,1,127,0
96910,2,127,1
96910,3,127,0
96411,1,128,0
96715,2,128,1
96715,3,128,0
94485,1,129,0
94485,2,129,0
94485,3,129,0
96262,1,130,0
96865,2,130,1
96865,3,130,0
96133,1,131,0
96133,2,131,0
96133,3,131,0
96400,1,132,0
96400,2,132,0
96400,3,132,0
94402,1,133,0
94402,2,133,0
94402,3,133,0
96234,1,134,0
96234,2,134,0
96234,3,134,0
94465,1,135,0
94465,2,135,0
94465,3,135,0
96262,1,136,0
96262,2,136,0
96262,3,136,0
96385,1,137,0
96385,2,137,0
96385,3,137,0
96038,1,138,0
96878,2,138,1
96878,3,138,0
96409,1,139,0
96409,2,139,0
96409,3,139,0
95599,1,140,0
96910,2,140,1
96910,3,140,0
96262,1,141,0
96262,2,141,0
96262,3,141,0
96409,1,142,0
96409,2,142,0
96810,3,142,1
96133,1,143,0
96133,2,143,0
96133,3,143,0
95670,1,144,0
95982,2,144,1
95982,3,144,0
96133,1,145,0
96133,2,145,0
96133,3,145,0
96400,1,146,0
96400,2,146,0
96400,3,146,0
95729,1,147,0
96409,2,147,1
96409,3,147,0
96018,1,148,0
96018,2,148,0
96018,3,148,0
96188,1,149,0
96776,2,149,1
96776,3,149,0
93618,1,150,0
93618,2,150,0
93618,3,150,0
96385,1,151,0
96385,2,151,0
96385,3,151,0
95982,1,152,0
95982,2,152,0
97017,3,152,1
95471,1,153,0
95471,2,153,0
95471,3,153,0
96327,1,154,0
97120,2,154,1
97120,3,154,0
96409,1,155,0
96810,2,155,1
96810,3,155,0
95982,1,156,0
95982,2,156,0
95982,3,156,0
96385,1,157,0
96890,2,157,1
96890,3,157,0
94463,1,158,0
96038,2,158,1
96038,3,158,0
96234,1,159,0
96234,2,159,0
96234,3,159,0
96208,1,160,0
96208,2,160,0
96208,3,160,0
96400,1,161,0
96737,2,161,1
96737,3,161,0
93618,1,162,0
97120,2,162,1
97120,3,162,0
96133,1,163,0
96133,2,163,0
96133,3,163,0
96208,1,164,0
96208,2,164,0
96208,3,164,0
96007,1,165,0
96007,2,165,0
96007,3,165,0
93618,1,166,0
93618,2,166,0
93618,3,166,0
96409,1,167,0
96409,2,167,0
96409,3,167,0
96018,1,168,0
96018,2,168,0
96018,3,168,0
93561,1,169,0
93561,2,169,0
96810,3,169,1
96007,1,170,0
96007,2,170,0
96007,3,170,0
93561,1,171,0
93561,2,171,0
93561,3,171,0
94468,1,172,0
94468,2,172,0
94468,3,172,0
96133,1,173,0
96133,2,173,0
96133,3,173,0
95982,1,174,0
95982,2,174,0
95982,3,174,0
95595,1,175,0
96038,2,175,1
96038,3,175,0
95729,1,176,0
95729,2,176,0
95729,3,176,0
96327,1,177,0
96327,2,177,0
96327,3,177,0
96332,1,178,0
96332,2,178,0
96332,3,178,0
96327,1,179,0
96327,2,179,0
97120,3,179,1
96018,1,180,0
96018,2,180,0
97034,3,180,1
96119,1,181,0
96119,2,181,0
96970,3,181,1
95599,1,182,0
96910,2,182,1
96910,3,182,0
96262,1,183,0
96262,2,183,0
96262,3,183,0
93561,1,184,0
93561,2,184,0
96810,3,184,1
96018,1,185,0
96018,2,185,0
97034,3,185,1
94463,1,186,0
94463,2,186,0
94463,3,186,0
93561,1,187,0
93561,2,187,0
93561,3,187,0
95645,1,188,0
95645,2,188,0
97120,3,188,1
96133,1,189,0
96133,2,189,0
96133,3,189,0
95744,1,190,0
96385,2,190,1
96385,3,190,0
96038,1,191,0
96038,2,191,0
96878,3,191,1
96308,1,192,0
97002,2,192,1
97002,3,192,0
96119,1,193,0
96970,2,193,1
96970,3,193,0
96022,1,194,0
96022,2,194,0
96722,3,194,1
96133,1,195,0
96133,2,195,0
96133,3,195,0
96234,1,196,0
96234,2,196,0
96234,3,196,0
96385,1,197,0
96385,2,197,0
96890,3,197,1
96400,1,198,0
96400,2,198,0
96400,3,198,0
96022,1,199,0
96722,2,199,1
96722,3,199,0
96133,1,200,0
96133,2,200,0
96133,3,200,0
96121,1,201,0
96121,2,201,0
96741,3,201,1
96400,1,202,0
96400,2,202,0
96400,3,202,0
96262,1,203,0
96262,2,203,0
96262,3,203,0
95729,1,204,0
95729,2,204,0
95729,3,204,0
95982,1,205,0
95982,2,205,0
95982,3,205,0
96410,1,206,0
96410,2,206,0
97240,3,206,1
95982,1,207,0
95982,2,207,0
95982,3,207,0
95982,1,208,0
97017,2,208,1
97017,3,208,0
96054,1,209,0
96054,2,209,0
96054,3,209,0
96038,1,210,0
96038,2,210,0
96038,3,210,0
96409,1,211,0
96409,2,211,0
96409,3,211,0
96133,1,212,0
96874,2,212,1
96874,3,212,0
96119,1,213,0
96970,2,213,1
96970,3,213,0
95982,1,214,0
97017,2,214,1
97017,3,214,0
95400,1,215,0
95400,2,215,0
95400,3,215,0
96400,1,216,0
96400,2,216,0
96400,3,216,0
93561,1,217,0
93561,2,217,0
93561,3,217,0
96007,1,218,0
96767,2,218,1
96767,3,218,0
96018,1,219,0
96018,2,219,0
96018,3,219,0
93631,1,220,0
96332,2,220,1
96332,3,220,0
93537,1,221,0
93537,2,221,0
93537,3,221,0
96234,1,222,0
96234,2,222,0
96234,3,222,0
93618,1,223,0
93618,2,223,0
93618,3,223,0
93618,1,224,0
97034,2,224,1
97034,3,224,0
96409,1,225,0
96409,2,225,0
96409,3,225,0
96208,1,226,0
96208,2,226,0
96208,3,226,0
95712,1,227,0
96874,2,227,1
96874,3,227,0
95645,1,228,0
96327,2,228,1
96327,3,228,0
96262,1,229,0
96262,2,229,0
96262,3,229,0
96385,1,230,0
96385,2,230,0
96385,3,230,0
95570,1,231,0
95570,2,231,0
95570,3,231,0
93618,1,232,0
97120,2,232,1
97120,3,232,0
93561,1,233,0
93561,2,233,0
93561,3,233,0
96133,1,234,0
96874,2,234,1
96874,3,234,0
95982,1,235,0
97017,2,235,1
97017,3,235,0
93618,1,236,0
96327,2,236,1
96327,3,236,0
96262,1,237,0
96262,2,237,0
96262,3,237,0
93537,1,238,0
93537,2,238,0
93537,3,238,0
96234,1,239,0
96234,2,239,0
96234,3,239,0
95982,1,240,0
97017,2,240,1
97017,3,240,0
96078,1,241,0
96078,2,241,0
96078,3,241,0
95982,1,242,0
97017,2,242,1
97017,3,242,0
96133,1,243,0
96133,2,243,0
96133,3,243,0
95729,1,244,0
95729,2,244,0
95729,3,244,0
96409,1,245,0
96409,2,245,0
96810,3,245,1
96400,1,246,0
96400,2,246,0
96737,3,246,1
93561,1,247,0
93561,2,247,0
93561,3,247,0
95645,1,248,0
95645,2,248,0
95645,3,248,0
94463,1,249,0
94463,2,249,0
94463,3,249,0
96262,1,250,0
96262,2,250,0
96262,3,250,0
96007,1,251,0
96007,2,251,0
96767,3,251,1
95408,1,252,0
96807,2,252,1
96807,3,252,0
96400,1,253,0
96400,2,253,0
96400,3,253,0
96262,1,254,0
96865,2,254,1
96865,3,254,0
96332,1,255,0
96332,2,255,0
96859,3,255,1
96133,1,256,0
96806,2,256,1
96806,3,256,0
96411,1,257,0
96411,2,257,0
96411,3,257,0
96332,1,258,0
96332,2,258,0
96332,3,258,0
95729,1,259,0
95729,2,259,0
95729,3,259,0
93521,1,260,0
93521,2,260,0
93521,3,260,0
94497,1,261,0
94497,2,261,0
94497,3,261,0
95729,1,262,0
95729,2,262,0
95729,3,262,0
95712,1,263,0
95712,2,263,0
95712,3,263,0
96208,1,264,0
96793,2,264,1
96806,3,264,1
96208,1,265,0
96208,2,265,0
96793,3,265,1
95982,1,266,0
95982,2,266,0
95982,3,266,0
95599,1,267,0
96910,2,267,1
96910,3,267,0
96385,1,268,0
96385,2,268,0
96385,3,268,0
95729,1,269,0
96409,2,269,1
96409,3,269,0
96327,1,270,0
96327,2,270,0
96327,3,270,0
96308,1,271,0
96308,2,271,0
96806,3,271,1
96208,1,272,0
96793,2,272,1
96793,3,272,0
96234,1,273,0
96234,2,273,0
96234,3,273,0
95982,1,274,0
95982,2,274,0
95982,3,274,0
96440,1,275,0
96440,2,275,0
96806,3,275,1
93845,1,276,0
93845,2,276,0
93845,3,276,0
96133,1,277,0
96874,2,277,1
96874,3,277,0
95729,1,278,0
95729,2,278,0
95729,3,278,0
96262,1,279,0
96262,2,279,0
96262,3,279,0
95712,1,280,0
96874,2,280,1
96874,3,280,0
96420,1,281,0
96916,2,281,1
96916,3,281,0
94463,1,282,0
94463,2,282,0
94463,3,282,0
96385,1,283,0
96890,2,283,1
96890,3,283,0
96133,1,284,0
96874,2,284,1
96874,3,284,0
95712,1,285,0
95712,2,285,0
95712,3,285,0
96133,1,286,0
96133,2,286,0
96133,3,286,0
95599,1,287,0
95599,2,287,0
95599,3,287,0
93618,1,288,0
93618,2,288,0
93618,3,288,0
96409,1,289,0
96409,2,289,0
96810,3,289,1
95729,1,290,0
95729,2,290,0
95729,3,290,0
96119,1,291,0
96970,2,291,1
96970,3,291,0
94419,1,292,0
97115,2,292,1
97115,3,292,0
95599,1,293,0
95599,2,293,0
96910,3,293,1
96262,1,294,0
96262,2,294,0
96262,3,294,0
96022,1,295,0
96022,2,295,0
96722,3,295,1
96410,1,296,0
96410,2,296,0
97240,3,296,1
96327,1,297,0
96327,2,297,0
96327,3,297,0
96133,1,298,0
96133,2,298,0
96133,3,298,0
95784,1,299,0
95784,2,299,0
95784,3,299,0
93561,1,300,0
93561,2,300,0
93561,3,300,0
93537,1,301,0
93537,2,301,0
93537,3,301,0
96409,1,302,0
96409,2,302,0
96409,3,302,0
96420,1,303,0
96420,2,303,0
96916,3,303,1
96327,1,304,0
96327,2,304,0
96327,3,304,0
96054,1,305,0
96844,2,305,1
96844,3,305,0
96007,1,306,0
96007,2,306,0
96767,3,306,1
96133,1,307,0
96133,2,307,0
96133,3,307,0
93561,1,308,0
96409,2,308,1
96409,3,308,0
96262,1,309,0
96262,2,309,0
96262,3,309,0
93720,1,310,0
93720,2,310,0
93720,3,310,0
93561,1,311,0
93561,2,311,0
93561,3,311,0
95982,1,312,0
95982,2,312,0
95982,3,312,0
96119,1,313,0
96119,2,313,0
96119,3,313,0
93845,1,314,0
93845,2,314,0
96806,3,314,1
95599,1,315,0
95599,2,315,0
95599,3,315,0
95408,1,316,0
95408,2,316,0
96807,3,316,1
96327,1,317,0
96327,2,317,0
96327,3,317,0
96022,1,318,0
96022,2,318,0
96722,3,318,1
93561,1,319,0
93561,2,319,0
93561,3,319,0
95982,1,320,0
97017,2,320,1
97017,3,320,0
96119,1,321,0
96970,2,321,1
96970,3,321,0
96121,1,322,0
96121,2,322,0
96121,3,322,0
95645,1,323,0
95645,2,323,0
95645,3,323,0
96119,1,324,0
96119,2,324,0
96970,3,324,1
93561,1,325,0
96810,2,325,1
96810,3,325,0
96121,1,326,0
96121,2,326,0
96741,3,326,1
95595,1,327,0
95595,2,327,0
95595,3,327,0
96119,1,328,0
96119,2,328,0
96119,3,328,0
96078,1,329,0
96078,2,329,0
96078,3,329,0
96234,1,330,0
96234,2,330,0
96922,3,330,1
96262,1,331,0
96865,2,331,1
96865,3,331,0
95729,1,332,0
96810,2,332,1
96810,3,332,0
96411,1,333,0
96715,2,333,1
96715,3,333,0
96400,1,334,0
96737,2,334,1
96737,3,334,0
95982,1,335,0
97017,2,335,1
97017,3,335,0
95570,1,336,0
96922,2,336,1
96922,3,336,0
95645,1,337,0
95645,2,337,0
95645,3,337,0
96018,1,338,0
96018,2,338,0
96018,3,338,0
95595,1,339,0
96878,2,339,1
96878,3,339,0
96133,1,340,0
96133,2,340,0
96133,3,340,0
96133,1,341,0
96133,2,341,0
96133,3,341,0
95712,1,342,0
96874,2,342,1
96874,3,342,0
96409,1,343,0
96409,2,343,0
96810,3,343,1
94463,1,344,0
96234,2,344,1
96234,3,344,0
95645,1,345,0
95645,2,345,0
97120,3,345,1
94497,1,346,0
94497,2,346,0
94497,3,346,0
95982,1,347,0
95982,2,347,0
95982,3,347,0
95982,1,348,0
95982,2,348,0
95982,3,348,0
93521,1,349,0
93521,2,349,0
93521,3,349,0
95570,1,350,0
96922,2,350,1
96922,3,350,0
96409,1,351,0
96409,2,351,0
96409,3,351,0
96208,1,352,0
96208,2,352,0
96208,3,352,0
94485,1,353,0
94485,2,353,0
94485,3,353,0
93521,1,354,0
93521,2,354,0
93521,3,354,0
96409,1,355,0
96409,2,355,0
96409,3,355,0
96078,1,356,0
96078,2,356,0
96078,3,356,0
95595,1,357,0
96878,2,357,1
96878,3,357,0
94497,1,358,0
94497,2,358,0
94497,3,358,0
96385,1,359,0
96890,2,359,1
96890,3,359,0
96038,1,360,0
96038,2,360,0
96038,3,360,0
96133,1,361,0
96133,2,361,0
96133,3,361,0
94458,1,362,0
94458,2,362,0
94458,3,362,0
96133,1,363,0
96133,2,363,0
96133,3,363,0
96413,1,364,0
96413,2,364,0
96413,3,364,0
96308,1,365,0
97002,2,365,1
97002,3,365,0
95670,1,366,0
95670,2,366,0
95670,3,366,0
93561,1,367,0
93561,2,367,0
93561,3,367,0
95645,1,368,0
95645,2,368,0
95645,3,368,0
95670,1,369,0
95670,2,369,0
95670,3,369,0
96413,1,370,0
96895,2,370,1
96895,3,370,0
91358,1,371,0
96022,2,371,1
96022,3,371,0
96234,1,372,0
96234,2,372,0
96922,3,372,1
96234,1,373,0
96234,2,373,0
96234,3,373,0
96038,1,374,0
96038,2,374,0
96878,3,374,1
94497,1,375,0
94497,2,375,0
94497,3,375,0
94478,1,376,0
96121,2,376,1
96741,3,376,1
96018,1,377,0
96018,2,377,0
96018,3,377,0
95408,1,378,0
96807,2,378,1
96807,3,378,0
96208,1,379,0
96208,2,379,0
96793,3,379,1
93561,1,380,0
93561,2,380,0
93561,3,380,0
96121,1,381,0
96121,2,381,0
96741,3,381,1
96400,1,382,0
96400,2,382,0
96400,3,382,0
96262,1,383,0
96865,2,383,1
96865,3,383,0
96400,1,384,0
96737,2,384,1
96737,3,384,0
93631,1,385,0
93631,2,385,0
93631,3,385,0
95471,1,386,0
95471,2,386,0
95471,3,386,0
96018,1,387,0
96018,2,387,0
96018,3,387,0
96262,1,388,0
96262,2,388,0
96262,3,388,0
93537,1,389,0
96133,2,389,1
96133,3,389,0
96262,1,390,0
96865,2,390,1
96865,3,390,0
94468,1,391,0
94468,2,391,0
94468,3,391,0
95645,1,392,0
95645,2,392,0
95645,3,392,0
95982,1,393,0
95982,2,393,0
95982,3,393,0
96385,1,394,0
96385,2,394,0
96385,3,394,0
95570,1,395,0
95570,2,395,0
95570,3,395,0
96385,1,396,0
96385,2,396,0
96385,3,396,0
96327,1,397,0
96327,2,397,0
96327,3,397,0
96234,1,398,0
96234,2,398,0
96234,3,398,0
95982,1,399,0
95982,2,399,0
97017,3,399,1
95982,1,400,0
95982,2,400,0
95982,3,400,0
95595,1,401,0
95982,2,401,1
95982,3,401,0
96038,1,402,0
96878,2,402,1
96878,3,402,0
96327,1,403,0
96327,2,403,0
96327,3,403,0
96411,1,404,0
96411,2,404,0
96411,3,404,0
95982,1,405,0
95982,2,405,0
95982,3,405,0
94485,1,406,0
94485,2,406,0
94485,3,406,0
96409,1,407,0
96409,2,407,0
96409,3,407,0
95670,1,408,0
95670,2,408,0
95670,3,408,0
96018,1,409,0
96018,2,409,0
96018,3,409,0
96078,1,410,0
96078,2,410,0
96910,3,410,1
96234,1,411,0
96234,2,411,0
96922,3,411,1
96022,1,412,0
96022,2,412,0
96722,3,412,1
93561,1,413,0
93561,2,413,0
93561,3,413,0
96119,1,414,0
96970,2,414,1
96970,3,414,0
95419,1,415,0
95419,2,415,0
95419,3,415,0
95570,1,416,0
95570,2,416,0
95570,3,416,0
94410,1,417,0
96133,2,417,1
96133,3,417,0
96133,1,418,0
96133,2,418,0
96133,3,418,0
96327,1,419,0
96327,2,419,0
97120,3,419,1
95729,1,420,0
96810,2,420,1
96810,3,420,0
96198,1,421,0
96400,2,421,1
96400,3,421,0
96413,1,422,0
96234,2,422,1
96234,3,422,0
93561,1,423,0
97120,2,423,1
97120,3,423,0
96234,1,424,0
96922,2,424,1
96922,3,424,0
96308,1,425,0
96308,2,425,0
96308,3,425,0
96327,1,426,0
96327,2,426,0
96327,3,426,0
96262,1,427,0
96262,2,427,0
96262,3,427,0
94463,1,428,0
94463,2,428,0
94463,3,428,0
96327,1,429,0
97120,2,429,1
97120,3,429,0
96327,1,430,0
97120,2,430,1
97120,3,430,0
94468,1,431,0
94468,2,431,0
94468,3,431,0
94463,1,432,0
94463,2,432,0
94463,3,432,0
93618,1,433,0
96327,2,433,1
96327,3,433,0
96385,1,434,0
96385,2,434,0
96385,3,434,0
95982,1,435,0
95982,2,435,0
95982,3,435,0
95982,1,436,0
95982,2,436,0
95982,3,436,0
93561,1,437,0
93561,2,437,0
93561,3,437,0
96262,1,438,0
96865,2,438,1
96865,3,438,0
95773,1,439,0
96910,2,439,1
96910,3,439,0
95400,1,440,0
95400,2,440,0
95400,3,440,0
96262,1,441,0
96865,2,441,1
96865,3,441,0
96327,1,442,0
96327,2,442,0
96327,3,442,0
96385,1,443,0
96385,2,443,0
96385,3,443,0
96400,1,444,0
96400,2,444,0
96400,3,444,0
95744,1,445,0
95744,2,445,0
95744,3,445,0
96133,1,446,0
96133,2,446,0
96133,3,446,0
96262,1,447,0
96262,2,447,0
96865,3,447,1
96385,1,448,0
96385,2,448,0
96385,3,448,0
95712,1,449,0
96874,2,449,1
96874,3,449,0
95500,1,450,0
95500,2,450,0
95500,3,450,0
95982,1,451,0
95982,2,451,0
95982,3,451,0
96413,1,452,0
96413,2,452,0
96413,3,452,0
95599,1,453,0
95599,2,453,0
95599,3,453,0
93561,1,454,0
93561,2,454,0
93561,3,454,0
95729,1,455,0
96409,2,455,1
96409,3,455,0
96409,1,456,0
96810,2,456,1
96810,3,456,0
96420,1,457,0
96916,2,457,1
96916,3,457,0
96054,1,458,0
96844,2,458,1
96844,3,458,0
96121,1,459,0
96121,2,459,0
96121,3,459,0
96413,1,460,0
96895,2,460,1
96895,3,460,0
94562,1,461,0
94562,2,461,0
94562,3,461,0
94458,1,462,0
94458,2,462,0
96890,3,462,1
95456,1,463,0
95456,2,463,0
95456,3,463,0
96385,1,464,0
96385,2,464,0
96385,3,464,0
95729,1,465,0
95729,2,465,0
95729,3,465,0
94468,1,466,0
94468,2,466,0
94468,3,466,0
95400,1,467,0
96970,2,467,1
96970,3,467,0
94562,1,468,0
94562,2,468,0
94562,3,468,0
96121,1,469,0
96890,2,469,1
96890,3,469,0
96410,1,470,0
97060,2,470,1
97060,3,470,0
94041,1,471,0
96385,2,471,1
96385,3,471,0
94402,1,472,0
94402,2,472,0
94402,3,472,0
95419,1,473,0
96767,2,473,1
96767,3,473,0
96385,1,474,0
96890,2,474,1
96890,3,474,0
95982,1,475,0
97017,2,475,1
97017,3,475,0
96332,1,476,0
96859,2,476,1
96859,3,476,0
95420,1,477,0
96895,2,477,1
96895,3,477,0
96234,1,478,0
96234,2,478,0
96922,3,478,1
96133,1,479,0
96133,2,479,0
96133,3,479,0
96234,1,480,0
96234,2,480,0
96922,3,480,1
93220,1,481,0
93220,2,481,0
93220,3,481,0
95744,1,482,0
95744,2,482,0
95744,3,482,0
96262,1,483,0
97002,2,483,1
97002,3,483,0
96234,1,484,0
96234,2,484,0
96234,3,484,0
96327,1,485,0
96327,2,485,0
96327,3,485,0
95420,1,486,0
95420,2,486,0
95420,3,486,0
96400,1,487,0
96400,2,487,0
96400,3,487,0
95420,1,488,0
95420,2,488,0
95420,3,488,0
96409,1,489,0
96409,2,489,0
96409,3,489,0
96409,1,490,0
96409,2,490,0
96810,3,490,1
95982,1,491,0
97017,2,491,1
97017,3,491,0
95729,1,492,0
95729,2,492,0
95729,3,492,0
96262,1,493,0
96262,2,493,0
96865,3,493,1
95982,1,494,0
95982,2,494,0
95982,3,494,0
95729,1,495,0
96409,2,495,1
96409,3,495,0
95982,1,496,0
97017,2,496,1
97017,3,496,0
95456,1,497,0
95456,2,497,0
95456,3,497,0
96327,1,498,0
96327,2,498,0
96327,3,498,0
96385,1,499,0
96385,2,499,0
96890,3,499,1
94366,1,500,0
94366,2,500,0
94366,3,500,0
96208,1,501,0
96793,2,501,1
96793,3,501,0
96119,1,502,0
96119,2,502,0
96119,3,502,0
95982,1,503,0
95982,2,503,0
95982,3,503,0
96262,1,504,0
96262,2,504,0
96262,3,504,0
93720,1,505,0
93720,2,505,0
93720,3,505,0
96327,1,506,0
96327,2,506,0
97034,3,506,1
96007,1,507,0
96007,2,507,0
96007,3,507,0
95982,1,508,0
95982,2,508,0
95982,3,508,0
96308,1,509,0
96308,2,509,0
96308,3,509,0
94562,1,510,0
96922,2,510,1
96922,3,510,0
96121,1,511,0
96121,2,511,0
96121,3,511,0
96327,1,512,0
96327,2,512,0
97120,3,512,1
94410,1,513,0
94410,2,513,0
94410,3,513,0
95599,1,514,0
95599,2,514,0
95599,3,514,0
95982,1,515,0
95982,2,515,0
97017,3,515,1
94458,1,516,0
94458,2,516,0
94458,3,516,0
96332,1,517,0
